Params,hMin,hMax,hAvg,tAvg
it:50|a:2|b:2|af:0.4|er:0.9,7280.95,10442.83,8613.19,6
it:50|a:2|b:2|af:0.4|er:0.7,7103.47,9976.80,8579.57,6
it:50|a:2|b:2|af:0.4|er:0.5,7584.01,10198.87,8765.44,5
it:50|a:2|b:2|af:0.5|er:0.9,7421.73,10170.59,8749.32,6
it:50|a:2|b:2|af:0.5|er:0.7,6849.91,9496.90,8333.10,6
it:50|a:2|b:2|af:0.5|er:0.5,7521.15,9784.17,8536.01,7
it:50|a:2|b:2.1|af:0.4|er:0.9,7288.89,10097.65,8700.61,6
it:50|a:2|b:2.1|af:0.4|er:0.7,7259.91,10231.37,8712.61,5
it:50|a:2|b:2.1|af:0.4|er:0.5,7188.99,10097.67,8799.73,6
it:50|a:2|b:2.1|af:0.5|er:0.9,7214.97,10433.38,8451.43,6
it:50|a:2|b:2.1|af:0.5|er:0.7,6988.92,9800.70,8495.48,7
it:50|a:2|b:2.1|af:0.5|er:0.5,6899.25,9668.65,8242.78,6
it:50|a:2.1|b:2|af:0.4|er:0.9,7244.47,10388.33,8653.03,6
it:50|a:2.1|b:2|af:0.4|er:0.7,7177.04,9728.52,8467.77,5
it:50|a:2.1|b:2|af:0.4|er:0.5,7366.51,9361.67,8389.51,5
it:50|a:2.1|b:2|af:0.5|er:0.9,7259.37,9678.77,8326.55,7
it:50|a:2.1|b:2|af:0.5|er:0.7,7108.07,9406.83,8368.71,6
it:50|a:2.1|b:2|af:0.5|er:0.5,7127.44,9795.99,8487.97,7
it:50|a:2.1|b:2.1|af:0.4|er:0.9,6923.73,9668.33,8370.28,6
it:50|a:2.1|b:2.1|af:0.4|er:0.7,7143.12,9298.73,8441.26,6
it:50|a:2.1|b:2.1|af:0.4|er:0.5,7240.47,9732.49,8348.00,7
it:50|a:2.1|b:2.1|af:0.5|er:0.9,6774.75,9461.00,8255.78,7
it:50|a:2.1|b:2.1|af:0.5|er:0.7,7057.84,9930.29,8429.99,8
it:50|a:2.1|b:2.1|af:0.5|er:0.5,7129.23,9654.72,8378.12,7
